Image_Name,Image_Path,Label,Edge_Count,Contour_Count
0224.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0224.JPEG,1,4824,102
0369.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0369.jpg,0,28210,678
0541.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0541.JPEG,1,6862,181
0808.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0808.JPEG,0,6170,195
0479.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0479.jpg,0,19407,617
0173.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0173.JPEG,1,5010,169
0355.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0355.JPEG,1,3815,81
0719.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0719.JPEG,1,4096,118
0731.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0731.jpg,0,40202,963
0068.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0068.jpg,0,18456,497
0337.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0337.jpg,0,80205,1685
0077.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0077.jpg,0,10249,164
0227.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0227.jpg,0,4045,79
0911.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0911.JPEG,1,7479,192
0253.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0253.JPEG,1,11482,415
0371.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0371.jpg,0,42566,668
0382.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0382.jpg,0,73832,1794
0358.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0358.JPEG,1,6711,179
0605.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0605.jpg,0,16449,402
0880.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0880.JPEG,0,4100,89
0856.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0856.JPEG,1,7094,195
0044.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0044.JPEG,1,5210,127
0420.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0420.jpg,0,16365,312
0207.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0207.jpg,0,5211,151
0331.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0331.jpg,0,4874,147
0128.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0128.jpg,0,62519,1176
0374.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0374.JPEG,1,9216,356
0771.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0771.jpg,0,47701,2097
0359.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0359.JPEG,1,8284,243
0148.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0148.jpg,0,8783,190
0123.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0123.JPEG,1,2942,70
0686.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0686.jpg,0,14925,300
0156.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0156.jpg,0,13429,193
0749.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0749.jpg,0,13471,156
0340.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0340.jpg,0,32460,882
0853.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0853.JPEG,1,8559,274
0036.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0036.jpg,0,19915,473
0814.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0814.JPEG,0,3537,116
0398.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0398.JPEG,1,4992,156
0103.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0103.JPEG,1,5810,159
0609.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0609.jpg,0,128961,5826
0548.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0548.JPEG,1,10393,303
0338.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0338.jpg,0,36186,697
0121.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0121.JPEG,1,6638,225
0762.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0762.jpg,0,31529,1296
0461.jpeg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0461.jpeg,1,4910,148
0258.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0258.jpg,0,6399,194
0318.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0318.jpg,0,37417,795
0284.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0284.jpg,0,53315,1291
0355.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0355.jpg,0,37904,970
0891.jpeg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0891.jpeg,1,7815,248
0095.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0095.JPEG,1,8379,226
0854.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0854.JPEG,1,6639,229
0102.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0102.JPEG,1,6803,180
0691.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0691.JPEG,1,10767,344
0251.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0251.jpg,0,30017,644
0550.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0550.JPEG,1,9886,318
0839.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0839.JPEG,1,10996,387
0438.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0438.JPEG,1,6206,151
0661.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0661.jpg,0,19838,286
0452.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0452.jpg,0,19527,235
0156.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0156.JPEG,1,4846,118
0081.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0081.jpg,0,25220,799
0045.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0045.JPEG,1,4985,178
0388.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0388.jpg,0,12745,231
0584.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0584.JPEG,1,8369,247
0238.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0238.JPEG,1,14209,711
0714.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0714.JPEG,1,7306,205
0849.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0849.JPEG,1,8132,250
0475.jpeg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0475.jpeg,1,5089,138
0054.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0054.JPEG,1,5273,144
0641.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0641.JPEG,1,7258,321
0789.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0789.JPEG,1,5371,267
0144.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0144.jpg,0,4563,108
0050.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0050.jpg,0,15731,379
0564.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0564.jpg,0,1720396,51709
0740.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0740.JPEG,1,10454,292
0311.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0311.jpg,0,43544,881
0193.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0193.jpg,0,11500,231
0404.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0404.JPEG,1,6589,161
0855.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0855.JPEG,1,6151,146
0861.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0861.JPEG,1,4714,157
0254.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0254.jpg,0,6107,122
0674.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0674.jpg,0,249272,8980
0671.jpeg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0671.jpeg,1,6084,162
0758.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0758.JPEG,1,9864,333
0716.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0716.jpg,0,11252,306
0781.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0781.jpg,0,12059,176
0246.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0246.jpg,0,48143,1240
0745.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0745.JPEG,1,3070,54
0458.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0458.JPEG,1,3808,88
0900.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0900.JPEG,0,9095,253
0088.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0088.jpg,0,42298,1
0158.jpeg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0158.jpeg,1,7915,202
0170.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0170.jpg,0,18196,611
0414.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0414.JPEG,1,5503,149
0222.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0222.jpg,0,46167,1256
0384.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0384.JPEG,1,8052,260
0438.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0438.jpg,0,5808,104
0583.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0583.jpg,0,38496,3
0590.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0590.jpg,0,21871,520
0229.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0229.jpg,0,282738,12045
0868.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0868.JPEG,0,7772,211
0629.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0629.jpg,0,15092,227
0887.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0887.JPEG,1,5973,183
0329.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0329.JPEG,1,10479,381
0336.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0336.jpg,0,51291,756
0327.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0327.JPEG,1,10609,374
0236.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0236.JPEG,1,4193,81
0230.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0230.jpg,0,12125,207
0270.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0270.jpg,0,16766,378
0445.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0445.JPEG,1,7101,190
0765.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0765.JPEG,1,8006,304
0296.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0296.jpg,0,32247,1027
0289.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0289.jpg,0,47828,889
0706.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0706.JPEG,1,8002,296
0860.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0860.JPEG,1,6012,159
0520.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0520.JPEG,1,8322,311
0051.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0051.JPEG,1,4963,118
0488.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0488.JPEG,1,7838,190
0296.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0296.JPEG,1,6263,189
0857.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0857.JPEG,0,5580,119
0016.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0016.jpg,0,36627,1359
0266.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0266.JPEG,1,7882,350
0582.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0582.JPEG,1,10481,302
0798.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0798.JPEG,1,5676,122
0363.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0363.jpg,0,17756,571
0175.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0175.jpg,0,20920,348
0566.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0566.JPEG,1,7174,224
0344.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0344.jpg,0,6723,190
0108.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0108.jpg,0,17769,322
0584.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0584.jpg,0,41268,619
0496.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0496.jpg,0,11560,444
0126.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0126.jpg,0,3852,113
0005.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0005.JPEG,1,4005,97
0283.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0283.JPEG,1,8336,230
0143.jpeg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0143.jpeg,1,6902,207
0304.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0304.jpg,0,22296,685
0558.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0558.JPEG,1,6688,175
0811.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0811.JPEG,0,5602,227
0882.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0882.JPEG,1,7346,174
0273.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0273.jpg,0,20588,216
0138.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0138.jpg,0,80897,2205
0701.jpeg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0701.jpeg,1,7034,245
0546.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0546.jpg,0,11766,209
0226.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0226.jpg,0,86412,3604
0094.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0094.jpg,0,22991,430
0008.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0008.jpg,0,19083,334
0041.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0041.JPEG,1,7815,220
0041.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0041.jpg,0,12272,263
0773.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0773.jpg,0,15407,391
0014.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0014.jpg,0,22456,497
0326.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0326.JPEG,1,6029,158
0538.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0538.jpg,0,26532,763
0710.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0710.jpg,0,11945,170
0414.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0414.jpg,0,23592,767
0877.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0877.JPEG,1,6352,164
0836.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0836.JPEG,1,4837,99
0248.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0248.jpg,0,39529,982
0132.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0132.JPEG,1,7630,222
0052.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0052.JPEG,1,9194,260
0240.jpg,/Users/tanishqjain/Desktop/pyhton project/data1a/training/01-whole/0240.jpg,0,6948,192
0614.JPEG,/Users/tanishqjain/Desktop/pyhton project/data1a/training/00-damage/0614.JPEG,1,6084,141
